,provincia,energia entregada,mes,anio,fecha
202,Hato Mayor,5.25814558,2,2019,2019-02-01
203,La Altagracia,20.785151120000002,2,2019,2019-02-01
204,La Romana,23.719285170000003,2,2019,2019-02-01
205,Monte Plata,7.9667448499999995,2,2019,2019-02-01
206,San Pedro de Macorís,37.16443596,2,2019,2019-02-01
207,Santo Domingo,182.34063444999998,2,2019,2019-02-01
208,El Seibo,6.1024118099999995,3,2019,2019-03-01
209,Distrito Nacional,73.22545075,3,2019,2019-03-01
210,Hato Mayor,5.92400577,3,2019,2019-03-01
211,La Altagracia,23.49745425,3,2019,2019-03-01
212,La Romana,26.58029899,3,2019,2019-03-01
213,Monte Plata,8.83151609,3,2019,2019-03-01
214,San Pedro de Macorís,43.16857607,3,2019,2019-03-01
215,Santo Domingo,205.50481066,3,2019,2019-03-01
216,El Seibo,6.36646183,4,2019,2019-04-01
217,Distrito Nacional,71.86205432999999,4,2019,2019-04-01
218,Hato Mayor,6.1527767,4,2019,2019-04-01
219,La Altagracia,24.10328857,4,2019,2019-04-01
220,La Romana,27.08456868,4,2019,2019-04-01
221,Monte Plata,8.75079156,4,2019,2019-04-01
222,San Pedro de Macorís,44.45283858,4,2019,2019-04-01
223,Santo Domingo,205.44589057,4,2019,2019-04-01
224,El Seibo,5.69143372,5,2019,2019-05-01
225,Distrito Nacional,80.16020865,5,2019,2019-05-01
226,Hato Mayor,6.26775219,5,2019,2019-05-01
227,La Altagracia,26.866026920000003,5,2019,2019-05-01
228,La Romana,28.77965026,5,2019,2019-05-01
229,Monte Plata,9.0341939,5,2019,2019-05-01
230,San Pedro de Macorís,47.66857733,5,2019,2019-05-01
231,Santo Domingo,223.06125966,5,2019,2019-05-01
232,El Seibo,5.169577309999999,6,2019,2019-06-01
233,Distrito Nacional,80.52844282,6,2019,2019-06-01
234,Hato Mayor,6.33726507,6,2019,2019-06-01
235,La Altagracia,27.4180039,6,2019,2019-06-01
236,La Romana,29.118071280000002,6,2019,2019-06-01
237,Monte Plata,8.82464894,6,2019,2019-06-01
238,San Pedro de Macorís,47.338351159999995,6,2019,2019-06-01
239,Santo Domingo,224.86310234,6,2019,2019-06-01
240,El Seibo,5.49116367,7,2019,2019-07-01
241,Distrito Nacional,85.72454152,7,2019,2019-07-01
242,Hato Mayor,6.84821526,7,2019,2019-07-01
243,La Altagracia,30.12401602,7,2019,2019-07-01
244,La Romana,31.2452017,7,2019,2019-07-01
245,Monte Plata,9.238665300000001,7,2019,2019-07-01
246,San Pedro de Macorís,46.38580856,7,2019,2019-07-01
247,Santo Domingo,231.12191908000003,7,2019,2019-07-01
248,El Seibo,5.461671143,8,2019,2019-08-01
249,Distrito Nacional,87.96391870000001,8,2019,2019-08-01
250,Hato Mayor,6.9080583540000005,8,2019,2019-08-01
251,La Altagracia,31.853841420000002,8,2019,2019-08-01
252,La Romana,31.615880960000002,8,2019,2019-08-01
253,Monte Plata,9.138362617,8,2019,2019-08-01
254,San Pedro de Macorís,46.2322481,8,2019,2019-08-01
255,Santo Domingo,238.2868991,8,2019,2019-08-01
256,El Seibo,5.390014484,9,2019,2019-09-01
257,Distrito Nacional,86.72928411,9,2019,2019-09-01
258,Hato Mayor,6.768731083,9,2019,2019-09-01
259,La Altagracia,30.543418149999997,9,2019,2019-09-01
260,La Romana,29.367150199999998,9,2019,2019-09-01
261,Monte Plata,9.615431397,9,2019,2019-09-01
262,San Pedro de Macorís,45.651194200000006,9,2019,2019-09-01
263,Santo Domingo,240.8874874,9,2019,2019-09-01
264,El Seibo,5.479154576,10,2019,2019-10-01
